time,Total energy consumption Swiss controlblock
2009-01-11,1416182246.8434997
2009-01-18,1419110971.0249987
2009-01-25,1390560600.0075006
2009-02-01,1395653947.5757513
2009-02-08,1361746361.297499
2009-02-15,1385018909.7607505
2009-02-22,1396957834.2947512
2009-03-01,1327867009.8170004
2009-03-08,1331236588.0802498
2009-03-15,1300131355.7087498
2009-03-22,1252864893.7204995
2009-03-29,1260211027.7592504
2009-04-05,1213069371.2449992
2009-04-12,1058480065.0532501
2009-04-19,1043221479.2857494
2009-04-26,1074515022.8697503
2009-05-03,1103945151.2707508
2009-05-10,1103596014.9715009
2009-05-17,1097188319.3737493
2009-05-24,1045321332.2887492
2009-05-31,1104159916.9894998
2009-06-07,1045648239.6374996
2009-06-14,1049588601.1639992
2009-06-21,1118141961.1722505
2009-06-28,1069712438.85275
2009-07-05,1102628154.18675
2009-07-12,1083111145.6635005
2009-07-19,1104213368.0019996
2009-07-26,1038354370.8900018
2009-08-02,998246367.6847497
2009-08-09,1018664622.7892495
2009-08-16,1060451325.2155004
2009-08-23,1108960383.17825
2009-08-30,1121266409.258499
2009-09-06,1124354661.4779992
2009-09-13,1109207025.8225005
2009-09-20,1132234712.1445
2009-09-27,1122842367.727499
2009-10-04,1110606244.8972502
2009-10-11,1134867341.86975
2009-10-18,1197808033.0817509
2009-10-25,1229016781.0672507
2009-11-01,1212383990.99
2009-11-08,1265052564.9425006
2009-11-15,1280670836.583501
2009-11-22,1238109521.2435007
2009-11-29,1271770269.5795004
2009-12-06,1368629389.762749
2009-12-13,1369666194.5037494
2009-12-20,1441749545.9307523
2009-12-27,1279866106.2872496
2010-01-03,1189000226.5854995
2010-01-10,1403511930.9674995
2010-01-17,1418283626.8955002
2010-01-24,1405723766.4020004
2010-01-31,1431896287.1239986
2010-02-07,1399224627.9117517
2010-02-14,1432147955.8004987
2010-02-21,1399389492.9790013
2010-02-28,1317122211.4402487
2010-03-07,1346799310.793001
2010-03-14,1417396273.1535003
2010-03-21,1289815152.9595006
2010-03-28,1235397318.750748
2010-04-04,1188038075.4802492
2010-04-11,1147483987.908248
2010-04-18,1211509049.7692513
2010-04-25,1163903838.3262506
2010-05-02,1121610612.5449994
2010-05-09,1176044395.515251
2010-05-16,1114820133.3695006
2010-05-23,1138339415.6647503
2010-05-30,1115640238.1282496
2010-06-06,1135028752.7655005
2010-06-13,1186948568.4842508
2010-06-20,1168362672.52725
2010-06-27,1122869464.2259998
2010-07-04,1162135915.6860006
2010-07-11,1140606085.822499
2010-07-18,1138106862.60475
2010-07-25,1086908704.2112498
2010-08-01,1018531133.4862508
2010-08-08,1028871341.4552513
2010-08-15,1082679322.5117497
2010-08-22,1109506530.383249
2010-08-29,1150874739.8682504
2010-09-05,1115870419.775999
2010-09-12,1114690923.8522503
2010-09-19,1138998989.3815005
2010-09-26,1141934536.0287514
2010-10-03,1171111508.512
2010-10-10,1153999324.342
2010-10-17,1206844048.4527514
2010-10-24,1251180091.8237495
2010-10-31,1285687530.3980007
2010-11-07,1241158166.5575001
2010-11-14,1298725786.5197487
2010-11-21,1329670273.7737505
2010-11-28,1403143251.5644991
2010-12-05,1468980650.4712515
2010-12-12,1420695715.1654997
2010-12-19,1498791172.1437497
2010-12-26,1346586122.6462493
2011-01-02,1297335551.2887511
2011-01-09,1389377143.8200004
2011-01-16,1360868758.61025
2011-01-23,1424927138.4072506
2011-01-30,1444247403.7850006
2011-02-06,1427286534.095752
2011-02-13,1348814188.1040003
2011-02-20,1359124075.4407504
2011-02-27,1392168497.4912493
2011-03-06,1372519532.2805
2011-03-13,1317279500.3500013
2011-03-20,1302146258.58425
2011-03-27,1255238318.0294995
2011-04-03,1220772786.2307491
2011-04-10,1149275465.9922519
2011-04-17,1158965343.3475013
2011-04-24,1076694688.0562499
2011-05-01,1082610154.9199996
2011-05-08,1126733297.7932508
2011-05-15,1142060298.5925007
2011-05-22,1125329660.3864996
2011-05-29,1139035481.0019999
2011-06-05,1072680766.8750006
2011-06-12,1120977986.4450004
2011-06-19,1119025864.2767487
2011-06-26,1133905557.0415003
2011-07-03,1165671403.8157501
2011-07-10,1150598415.7662501
2011-07-17,1155749756.6089983
2011-07-24,1088504762.7815008
2011-07-31,1003392477.2800002
2011-08-07,1028820800.3842496
2011-08-14,1075892641.2159998
2011-08-21,1124480834.8252501
2011-08-28,1167664338.977999
2011-09-04,1124422937.4280007
2011-09-11,1133437620.3167512
2011-09-18,1132039216.493501
2011-09-25,1118510284.74425
2011-10-02,1118037521.0387511
2011-10-09,1140369303.6217496
2011-10-16,1155410841.2249985
2011-10-23,1210673605.5879989
2011-10-30,1221644017.389499
2011-11-06,1206845575.279498
2011-11-13,1256663065.462751
2011-11-20,1303575320.3125
2011-11-27,1331912758.9715004
2011-12-04,1317892910.009249
2011-12-11,1349070717.0492485
2011-12-18,1380769370.1659992
2011-12-25,1362763666.2797503
2012-01-01,1220881345.6112497
2012-01-08,1306911793.0100007
2012-01-15,1374118691.66025
2012-01-22,1398117352.6867507
2012-01-29,1375022592.9607508
2012-02-05,1493199500.2242515
2012-02-12,1582054295.5302517
2012-02-19,1457388175.4497497
2012-02-26,1384224252.1272502
2012-03-04,1297577123.716499
2012-03-11,1321667760.5707505
2012-03-18,1250160987.2267485
2012-03-25,1225513514.01225
2012-04-01,1175593791.0610003
2012-04-08,1134061014.689499
2012-04-15,1172242160.5260007
2012-04-22,1208838516.4695008
2012-04-29,1166547782.1270008
2012-05-06,1096041752.4420002
2012-05-13,1120837518.1342497
2012-05-20,1063858244.3552504
2012-05-27,1108281028.1145012
2012-06-03,1089992544.6354992
2012-06-10,1133539769.04625
2012-06-17,1119361321.9537506
2012-06-24,1145116458.3087497
2012-07-01,1148490973.3497498
2012-07-08,1127052895.5514984
2012-07-15,1098937053.8459995
2012-07-22,1051477859.44075
2012-07-29,1022504776.1269991
2012-08-05,974633077.8974998
2012-08-12,1040030746.3012501
2012-08-19,1084908056.1230009
2012-08-26,1157144728.2310004
2012-09-02,1122511592.6152506
2012-09-09,1098407034.6392508
2012-09-16,1115754647.8427505
2012-09-23,1128721872.59675
2012-09-30,1150800888.4439995
2012-10-07,1142378508.847751
2012-10-14,1160534827.9137485
2012-10-21,1174855346.0930002
2012-10-28,1221273213.4517505
2012-11-04,1244957661.283499
2012-11-11,1274534521.3634999
2012-11-18,1272878032.6992502
2012-11-25,1297732123.8647518
2012-12-02,1370542099.505
2012-12-09,1454135107.3172498
2012-12-16,1450790144.0367494
2012-12-23,1364542374.6657505
2012-12-30,1169736429.309
2013-01-06,1196743258.4987495
2013-01-13,1349879324.442501
2013-01-20,1433675652.4269998
2013-01-27,1424133585.1287496
2013-02-03,1368124537.431
2013-02-10,1407637830.2229998
2013-02-17,1417806087.457249
2013-02-24,1411944634.5307508
2013-03-03,1405674339.8092487
2013-03-10,1311194744.8334982
2013-03-17,1335901908.3532495
2013-03-24,1291056530.5167503
2013-03-31,1277456193.8785007
2013-04-07,1237806050.9325
2013-04-14,1235181694.791999
2013-04-21,1155502023.9747512
2013-04-28,1137063352.1667502
2013-05-05,1120421557.09525
2013-05-12,1063460383.4659995
2013-05-19,1108095615.3502502
2013-05-26,1132048819.7822497
2013-06-02,1133607351.4152493
2013-06-09,1115281946.0112507
2013-06-16,1121990286.041999
2013-06-23,1151435474.173251
2013-06-30,1111997631.8919997
2013-07-07,1104156603.7067497
2013-07-14,1103305837.2347493
2013-07-21,1077822452.9494994
2013-07-28,1060724893.5902516
2013-08-04,987032919.9365047
2013-08-11,1049626949.422
2013-08-18,1045755640.4599994
2013-08-25,1103402324.2059999
2013-09-01,1100828208.817999
2013-09-08,1117424870.7069993
2013-09-15,1129606532.6790004
2013-09-22,1147918664.7399993
2013-09-29,1120565588.626001
2013-10-06,1151816210.3279998
2013-10-13,1185923556.5149992
2013-10-20,1168474309.1460001
2013-10-27,1193877388.102
2013-11-03,1189976042.1079988
2013-11-10,1238026013.3660002
2013-11-17,1316067322.2089994
2013-11-24,1361632194.4599998
2013-12-01,1419568305.5320015
2013-12-08,1421963376.834
2013-12-15,1431801815.6690018
2013-12-22,1392313866.9119995
2013-12-29,1207378550.7869987
2014-01-05,1235009906.2649996
2014-01-12,1314326411.5099998
2014-01-19,1366473286.796001
2014-01-26,1387146806.1740003
2014-02-02,1394122149.501998
2014-02-09,1377823755.1000001
2014-02-16,1357077386.1259985
2014-02-23,1330382339.3749988
2014-03-02,1309308369.224999
2014-03-09,1308776399.1700008
2014-03-16,1244598703.799
2014-03-23,1204329332.8680007
2014-03-30,1216457066.1220005
2014-04-06,1148376421.776999
2014-04-13,1135731778.2839997
2014-04-20,1094677475.605999
2014-04-27,1070238946.9839993
2014-05-04,1139114034.2339995
2014-05-11,1134102979.0840013
2014-05-18,1149060205.5139987
2014-05-25,1115742542.7230003
2014-06-01,1070520527.6389997
2014-06-08,1102178809.4309988
2014-06-15,1130336087.1369996
2014-06-22,1087568534.3719993
2014-06-29,1109970339.7060003
2014-07-06,1110925197.1279995
2014-07-13,1119168930.002
2014-07-20,1075955703.5360007
2014-07-27,1049269304.4349995
2014-08-03,1012517328.614
2014-08-10,1041886008.4400008
2014-08-17,1084264941.9199998
2014-08-24,1091819832.239
2014-08-31,1140111770.5780003
2014-09-07,1126107902.6439996
2014-09-14,1123292577.9439998
2014-09-21,1128945345.5899992
2014-09-28,1129669244.4919982
2014-10-05,1124728038.7440007
2014-10-12,1115878074.9469988
2014-10-19,1147735894.122
2014-10-26,1182467011.5800004
2014-11-02,1190126172.6230001
2014-11-09,1247520262.1480007
2014-11-16,1256625673.1579998
2014-11-23,1279650702.8289993
2014-11-30,1276560720.4219987
2014-12-07,1335147327.9889996
2014-12-14,1352291702.1870005
2014-12-21,1323117245.4039977
2014-12-28,1211616272.3520007
2015-01-04,1249696219.003
2015-01-11,1342189080.9089985
2015-01-18,1362695052.7229998
2015-01-25,1411248324.9620001
2015-02-01,1423954285.883999
2015-02-08,1459884940.7829993
2015-02-15,1417198018.524999
2015-02-22,1392547755.745
2015-03-01,1377096802.2049992
2015-03-08,1335081362.5879996
2015-03-15,1273745814.6490014
2015-03-22,1233526142.2399993
2015-03-29,1237248786.2800012
2015-04-05,1194649524.4010007
2015-04-12,1131977233.5370007
2015-04-19,1121722346.7930002
2015-04-26,1105928835.5859995
2015-05-03,1140005398.4189994
2015-05-10,1128054005.8379996
2015-05-17,1056532774.3589996
2015-05-24,1129779416.384
2015-05-31,1086980579.905999
2015-06-07,1111639634.1820002
2015-06-14,1122154003.1139996
2015-06-21,1109114849.8209996
2015-06-28,1085165384.8729992
2015-07-05,1120525872.4209988
2015-07-12,1115425504.3620002
2015-07-19,1093523492.1919992
2015-07-26,1081490654.5219994
2015-08-02,1029380058.6489992
2015-08-09,1057570054.9670008
2015-08-16,1095798099.3270001
2015-08-23,1091801668.0880003
2015-08-30,1113398425.801001
2015-09-06,1124481476.0609984
2015-09-13,1103509500.724999
2015-09-20,1166362954.205001
2015-09-27,1132598635.477999
2015-10-04,1144623541.0999985
2015-10-11,1151971914.482001
2015-10-18,1198234697.7059977
2015-10-25,1193653549.178999
2015-11-01,1185361529.4839993
2015-11-08,1198234931.326001
2015-11-15,1194297505.1240005
2015-11-22,1246473681.064001
2015-11-29,1374739908.5589995
2015-12-06,1329920240.4830012
2015-12-13,1361922085.4500003
2015-12-20,1338442383.1510005
2015-12-27,1200397647.9840012
2016-01-03,1193541379.108999
2016-01-10,1357998552.036999
2016-01-17,1419279656.2630017
2016-01-24,1434221039.9499984
2016-01-31,1336828373.8470004
2016-02-07,1310749466.716
2016-02-14,1342909844.5170004
2016-02-21,1356571306.8309994
2016-02-28,1330566561.8589995
2016-03-06,1371350359.369
2016-03-13,1336801006.421001
2016-03-20,1297387941.3129995
2016-03-27,1224288050.021
2016-04-03,1165313680.9699993
2016-04-10,1185721978.0369987
2016-04-17,1168080188.9450014
2016-04-24,1169115087.2829986
2016-05-01,1201386043.9959998
2016-05-08,1093997990.061999
2016-05-15,1137510498.0760007
2016-05-22,1086245306.2559998
2016-05-29,1130076348.3050008
2016-06-05,1131754374.2030008
2016-06-12,1101183683.3720002
2016-06-19,1134248947.8799999
2016-06-26,1130001216.3879998
2016-07-03,1140622395.0939996
2016-07-10,1134265146.893999
2016-07-17,1114569171.8639998
2016-07-24,1050151238.2749991
2016-07-31,1027992956.872001
2016-08-07,1011821633.555999
2016-08-14,1048742656.4050003
2016-08-21,1085287869.1540008
2016-08-28,1112049192.3929985
2016-09-04,1129853926.8570006
2016-09-11,1119250796.8630006
2016-09-18,1111752853.5310001
2016-09-25,1109960091.6289997
2016-10-02,1106548038.9659996
2016-10-09,1164964451.0669992
2016-10-16,1212731988.4689999
2016-10-23,1213402957.427
2016-10-30,1235385170.306001
2016-11-06,1245544877.3399994
2016-11-13,1335797805.8189995
2016-11-20,1296090152.2350016
2016-11-27,1283607138.3040006
2016-12-04,1356597397.4270003
2016-12-11,1368202624.9199996
2016-12-18,1394159906.7150002
2016-12-25,1312328351.402999
2017-01-01,1212175624.6010013
2017-01-08,1372564204.7869985
2017-01-15,1463994700.3999996
2017-01-22,1534932549.4750009
2017-01-29,1529219572.751999
2017-02-05,1437607223.1820014
2017-02-12,1418958229.9410007
2017-02-19,1366616991.0200021
2017-02-26,1310449671.6669996
2017-03-05,1322371978.4659998
2017-03-12,1337492442.0760005
2017-03-19,1242391839.3809996
2017-03-26,1219258089.2980008
2017-04-02,1163396241.6809993
2017-04-09,1134805641.8299997
2017-04-16,1080257570.316
2017-04-23,1157095777.2329993
2017-04-30,1215940331.8880022
2017-05-07,1201286769.8610008
2017-05-14,1149019506.8800008
2017-05-21,1136806899.7730005
2017-05-28,1073799961.649001
2017-06-04,1134708798.1940007
2017-06-11,1128483991.5700006
2017-06-18,1134507450.0440006
2017-06-25,1166677678.253999
2017-07-02,1128362286.3149996
2017-07-09,1130064899.4349995
2017-07-16,1111235533.8979995
2017-07-23,1091172827.1220002
2017-07-30,1065174003.8300005
2017-08-06,1038393003.5839996
2017-08-13,1099663050.343999
2017-08-20,1110349805.4190001
2017-08-27,1121198962.5320003
2017-09-03,1156629394.2599995
2017-09-10,1155919995.51
2017-09-17,1173320307.264001
2017-09-24,1165145503.407
2017-10-01,1176664193.2000003
2017-10-08,1191440467.9500005
2017-10-15,1159826248.7589996
2017-10-22,1158875084.7189991
2017-10-29,1227588837.6039984
2017-11-05,1246804098.6220021
2017-11-12,1342619452.3290017
2017-11-19,1371182566.1329997
2017-11-26,1349802579.536998
2017-12-03,1405398488.3050008
2017-12-10,1444247729.4990022
2017-12-17,1489567551.3179991
2017-12-24,1383554965.2399995
2017-12-31,1291718825.9389987
2018-01-07,1285824599.1879983
2018-01-14,1359967388.1979988
2018-01-21,1389542468.6189985
2018-01-28,1328782340.5800009
2018-02-04,1368815055.404999
2018-02-11,1404596225.2009997
2018-02-18,1387982729.6709986
2018-02-25,1434533857.2070029
2018-03-04,1485953428.8650007
2018-03-11,1359678342.6249998
2018-03-18,1343722647.5189989
2018-03-25,1384582555.0719995
2018-04-01,1266363001.9359987
2018-04-08,1218286630.9449997
2018-04-15,1162566799.0729985
2018-04-22,1151296798.8899984
2018-04-29,1126263689.3580005
2018-05-06,1156478125.4789996
2018-05-13,1102234961.2870002
2018-05-20,1157183019.5380006
2018-05-27,1103220938.231999
2018-06-03,1132284072.449001
2018-06-10,1130631967.3240008
2018-06-17,1147876131.3943255
2018-06-24,1184854368.428714
2018-07-01,1118287601.3586693
2018-07-08,1102626987.1514974
2018-07-15,1068579501.7100497
2018-07-22,1055922430.5065442
2018-07-29,1031173820.2650125
2018-08-05,999346424.731088
2018-08-12,1090769977.7179916
2018-08-19,1073172978.1371578
2018-08-26,1114196807.24006
2018-09-02,1125160834.0622253
2018-09-09,1120534709.1991475
2018-09-16,1154585327.88757
2018-09-23,1140009437.9672768
2018-09-30,1141105234.3652155
2018-10-07,1130399051.989616
2018-10-14,1128856788.372969
2018-10-21,1129042871.2862675
2018-10-28,1202841657.836402
2018-11-04,1262958566.7441401
2018-11-11,1240323099.6997929
2018-11-18,1294822872.0447013
2018-11-25,1376540068.4814923
2018-12-02,1379278676.9583895
2018-12-09,1351022584.349809
2018-12-16,1420241101.5643973
2018-12-23,1377186431.6445484
2018-12-30,1245205547.9693398
2019-01-06,1278597138.4590418
2019-01-13,1427763514.681099
2019-01-20,1412087416.3230925
2019-01-27,1430988955.3486547
